ACC001,Tire Michelin,Durable all-season tire,89.99,100,0.0
ACC002,Oil Filter Bosch,Premium oil filter,15.50,200,0.0
ACC003,Air Filter Mann,High-performance air filter,22.00,150,0.0
ACC004,Brake Pad Brembo,Ceramic brake pads,45.00,80,0.0
ACC005,Battery Optima,AGM battery 12V,120.00,50,0.0
ACC006,Wiper Blade Valeo,Aerodynamic wiper blade,18.50,120,0.0
ACC007,Spark Plug NGK,Iridium spark plug,8.99,300,0.0
ACC008,Coolant Prestone,Extended life coolant,12.00,100,0.0
ACC009,Transmission Fluid Mobil,Synthetic transmission fluid,25.00,60,0.0
ACC010,Brake Fluid Castrol,DOT 4 brake fluid,14.00,90,0.0
ACC011,Power Steering Fluid,Synthetic power steering fluid,16.00,75,0.0
ACC012,Windshield Washer,Winter formula washer,5.00,200,0.0
ACC013,Cabin Air Filter,Activated carbon filter,28.00,110,0.0
ACC014,Fuel Filter Mahle,Premium fuel filter,35.00,70,0.0
ACC015,Engine Air Filter,Replacement engine filter,32.00,85,0.0
